rssi
-69
-70
-70
-73
-83
-69
-74
-73
-86
-70
-73
-75
-85
-85
-69
-70
-73
-73
-85
-69
-70
-99
-70
-73
-74
-87
-69
-74
-87
-70
-74
-74
-70
-74
-74
-70
-70
-74
-74
-90
-86
-70
-70
-87
-86
-70
-73
-73
-87
-70
-73
-73
-85
-90
-70
-70
-74
-76
-89
-70
-70
-73
-70
-70
-74
-73
-89
-70
-72
-75
-88
-70
-70
-73
-74
-86
-69
-72
-73
-88
-69
-70
-74
-87
-70
-69
-73
-73
-86
-70
-69
-73
-72
-88
-69
-73
-86
-85
-70
-69
-73
-88
-69
-69
-87
-70
-73
-73
-70
-74
-74
-69
-73
-85
-69
-73
-73
-85
-70
-73
-74
-88
-74
-70
-70
-74
-73
-71
-70
-73
-86
-70
-74
-74
-88
-69
-70
-70
-74
-70
-70
-74
-70
-70
-74
-86
-70
-71
-74
-74
-86
-70
-70
-74
-74
-84
-70
-70
-74
-86
-70
-70
-74
-73
-84
-70
-69
-75
-88
-70
-74
-92
-70
-74
-70
-70
-74
-74
-72
-69
-74
-74
-88
-70
-74
-86
-89
-70
-70
-89
-70
-74
-74
-86
-84
-69
-69
-74
-74
-86
-86
-70
-69
-74
-83
-70
-70
-73
-73
-70
-74
-74
-84
-84
-70
-70
-74
-89
-87
-70
-69
-73
-74
-73
-70
-74
-69
-73
-90
-69
-69
-74
-74
-73
-85
-69
-69
-73
-74
-69
-74
-69
-68
-73
-85
-68
-73
-73
-70
-69
-74
-74
-86
-69
-74
-74
-87
-69
-75
-74
-86
-69
-74
-74
-69
-69
-74
-74
-90
-68
-74
-75
-69
-69
-69
-70
-74
-74
-69
-74
-74
-69
-69
-74
-85
-69
-69
-74
-69
-74
-74
-87
-84
-69
-74
-74
-69
-75
-74
-69
-74
-74
-85
-85
-69
-69
-74
-74
-69
-74
-88
-69
-69
-74
-88
-69
-73
-86
-68
-69
-73
-74
-70
-69
-68
-73
-86
-85
-69
-74
-74
-88
-69
-73
-75
-87
-67
-69
-74
-94
-69
-69
-73
-73
-87
-69
-73
-75
-84
-70
-73
-84
-70
-72
-73
-69
-73
-73
-86
-69
-70
-72
-73
-85
-87
-70
-70
-73
-72
-69
-72
-72
-70
-69
-72
-68
-69
-73
-69
-68
-68
-84
-85
-69
-73
-73
-83
-68
-68
-73
-73
-85
-84
-68
-69
-73
-73
-69
-73
-69
-73
-73
-70
-70
-87
-87
-69
-69
-73
-80
-79
-74
-80
-81
-72
-72
-72
-71
-82
-72
-71
-79
-83
-72
-72
-72
-72
-80
-72
-72
-72
-72
-82
-72
-74
-74
-72
-73
-82
-73
-72
-73
-73
-72
-72
-72
-81
-72
-72
-73
-81
-84
-72
-71
-75
-82
-72
-74
-74
-72
-72
-75
-74
-81
-85
-72
-73
-74
-85
-72
-72
-74
-74
-82
-82
-73
-74
-81
-85
-72
-73
-73
-83
-72
-71
-71
-71
-81
-81
-71
-71
-73
-72
-83
-83
-72
-73
-73
-81
-84
-73
-71
-72
-80
-71
-71
-72
-73
-82
-83
-72
-71
-72
-71
-83
-73
-74
-74
-82
-72
-72
-70
-70
-81
-82
-71
-72
-72
-73
-73
-82
-81
-71
-71
-75
-75
-73
-73
-76
-82
-82
-71
-71
-72
-86
-72
-75
-84
-85
-73
-73
-74
-74
-82
-72
-74
-74
-79
-84
-73
-75
-75
-85
-81
-73
-74
-82
-80
-72
-75
-75
-82
-81
-73
-73
-75
-75
-72
-74
-75
-83
-82
-73
-73
-76
-75
-82
-85
-73
-71
-75
-75
-83
-72
-71
-75
-82
-73
-73
-74
-71
-73
-84
-70
-70
-71
-72
-82
-78
-72
-74
-74
-78
-79
-75
-74
